2026-01-15 | 23:19:33.982 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-15 | 23:19:47.220 | INFO | MainThread | ADC not found. Launching gcloud login...
2026-01-15 | 23:19:47.224 | ERROR | MainThread | [WinError 2] 系統找不到指定的檔案。
2026-01-15 | 23:21:47.840 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-15 | 23:22:00.771 | INFO | MainThread | ADC not found. Launching gcloud login...
2026-01-15 | 23:22:00.775 | ERROR | MainThread | [WinError 2] 系統找不到指定的檔案。
2026-01-15 | 23:26:05.685 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-15 | 23:26:18.321 | INFO | MainThread | ADC not found. Launching gcloud login...
2026-01-15 | 23:26:32.970 | ERROR | MainThread | Command '['C:\\Users\\kaiyi\\AppData\\Local\\Google\\Cloud SDK\\google-cloud-sdk\\bin\\gcloud.CMD', 'auth', 'application-default', 'login']' returned non-zero exit status 1.
2026-01-15 | 23:27:02.023 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-15 | 23:27:14.959 | INFO | MainThread | ADC not found. Launching gcloud login...
2026-01-15 | 23:27:25.517 | INFO | MainThread | ADC login successful.
2026-01-16 | 21:57:49.739 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-16 | 21:57:54.897 | INFO | MainThread | Application Default Credentials already configured.
2026-01-16 | 21:57:54.897 | INFO | MainThread | Project: riichi-gym
2026-01-16 | 23:10:04.923 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-16 | 23:10:06.944 | INFO | MainThread | Application Default Credentials already configured.
2026-01-16 | 23:10:06.944 | INFO | MainThread | Project: riichi-gym
2026-01-20 | 21:31:33.059 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 21:31:36.442 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 21:31:36.442 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 21:33:17.357 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 21:33:19.058 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 21:33:19.058 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 21:47:09.529 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 21:47:11.068 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 21:47:11.068 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 21:58:43.039 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 21:58:50.890 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 21:58:50.890 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 21:59:29.415 | ERROR | MainThread | Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x00000270024134D0>
2026-01-20 | 21:59:29.416 | ERROR | MainThread | Unclosed connector
connections: ['deque([(<aiohttp.client_proto.ResponseHandler object at 0x0000027002723BF0>, 346344.5080136), (<aiohttp.client_proto.ResponseHandler object at 0x0000027002723110>, 346344.5126802)])']
connector: <aiohttp.connector.TCPConnector object at 0x0000027002413620>
2026-01-20 | 22:14:13.536 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 22:14:15.640 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 22:14:15.640 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 22:15:09.227 | INFO | MainThread | Successfully logged in into psql-hotspots:us-central1:psql-prc-01
2026-01-20 | 22:15:09.228 | INFO | MainThread | {'project_id': 'psql-hotspots', 'region': 'us-central1', 'database_id': 'psql-hotspots:psql-prc-01', 'username': 'postgres', 'password': 'Sai05260526@', 'instance_connection_name': 'psql-hotspots:us-central1:psql-prc-01', 'database': 'company_db'}
2026-01-20 | 22:29:33.814 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 22:29:35.234 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 22:29:35.234 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 22:29:44.928 | INFO | MainThread | Successfully logged in into psql-hotspots:us-central1:psql-prc-01
2026-01-20 | 22:30:00.553 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 22:30:01.973 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 22:30:01.974 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 22:30:08.488 | INFO | MainThread | Successfully logged in into psql-hotspots:us-central1:psql-prc-01
2026-01-20 | 22:30:27.375 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 22:30:28.678 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 22:30:28.678 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 22:30:37.390 | INFO | MainThread | Successfully logged in into psql-hotspots:us-central1:psql-prc-01
2026-01-20 | 22:31:09.789 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-20 | 22:31:11.066 | INFO | MainThread | Application Default Credentials already configured.
2026-01-20 | 22:31:11.066 | INFO | MainThread | Project: psql-hotspots
2026-01-20 | 22:31:22.416 | INFO | MainThread | Successfully logged in into psql-hotspots:us-central1:psql-prc-01
2026-01-22 | 19:21:46.367 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-22 | 19:21:48.015 | INFO | MainThread | Application Default Credentials already configured.
2026-01-22 | 19:21:48.016 | INFO | MainThread | Project: psql-hotspots
2026-01-22 | 19:21:54.175 | INFO | MainThread | Successfully logged in into psql-hotspots:us-central1:psql-prc-01
2026-01-29 | 23:17:02.911 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:20:28.100 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:22:39.037 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:30:25.444 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:30:47.278 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:37:08.965 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:37:35.566 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:38:06.000 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:38:25.486 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:38:36.459 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:39:43.607 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:39:58.513 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:51:40.323 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-29 | 23:52:08.432 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-30 | 00:03:56.029 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-30 | 00:04:01.843 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-30 | 00:04:04.131 | INFO | ThreadPoolExecutor-0_6 | Fetched 1 time series for CPU - Utilization
2026-01-30 | 00:04:04.179 | INFO | ThreadPoolExecutor-0_5 | Fetched 1 time series for CPU - Usage time
2026-01-30 | 00:04:04.228 | INFO | ThreadPoolExecutor-0_3 | Fetched 1 time series for WAL - Inserted Bytes Count
2026-01-30 | 00:04:04.255 | INFO | ThreadPoolExecutor-0_4 | Fetched 4 time series for Network - PostgreSQL num of backends by state
2026-01-30 | 00:04:04.259 | INFO | ThreadPoolExecutor-0_4 | Returning 4 PostgreSQL num of backends by state metrics (state/database/region)
2026-01-30 | 00:04:04.273 | INFO | ThreadPoolExecutor-0_2 | Fetched 1 time series for WAL - Flushed Bytes Count
2026-01-30 | 00:04:04.276 | INFO | ThreadPoolExecutor-0_0 | Fetched 15 time series for perquery lock time
2026-01-30 | 00:04:04.304 | INFO | ThreadPoolExecutor-0_0 | Returning 5 perquery lock time metrics (unique query/user/location/db buckets)
2026-01-30 | 00:04:04.499 | INFO | ThreadPoolExecutor-0_1 | Fetched 5 time series for perquery latencies
2026-01-30 | 00:04:04.510 | INFO | ThreadPoolExecutor-0_1 | Returning 5 perquery latency metrics (unique query/user/location/db buckets)
2026-01-30 | 00:06:03.617 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-30 | 00:06:05.702 | INFO | ThreadPoolExecutor-0_6 | Fetched 1 time series for CPU - Utilization
2026-01-30 | 00:06:05.758 | INFO | ThreadPoolExecutor-0_0 | Fetched 15 time series for perquery lock time
2026-01-30 | 00:06:05.788 | INFO | ThreadPoolExecutor-0_0 | Returning 5 perquery lock time metrics (unique query/user/location/db buckets)
2026-01-30 | 00:06:05.791 | INFO | ThreadPoolExecutor-0_5 | Fetched 1 time series for CPU - Usage time
2026-01-30 | 00:06:05.882 | INFO | ThreadPoolExecutor-0_3 | Fetched 1 time series for WAL - Inserted Bytes Count
2026-01-30 | 00:06:05.894 | INFO | ThreadPoolExecutor-0_4 | Fetched 4 time series for Network - PostgreSQL num of backends by state
2026-01-30 | 00:06:05.899 | INFO | ThreadPoolExecutor-0_4 | Returning 4 PostgreSQL num of backends by state metrics (state/database/region)
2026-01-30 | 00:06:05.977 | INFO | ThreadPoolExecutor-0_1 | Fetched 5 time series for perquery latencies
2026-01-30 | 00:06:05.990 | INFO | ThreadPoolExecutor-0_1 | Returning 5 perquery latency metrics (unique query/user/location/db buckets)
2026-01-30 | 00:06:06.036 | INFO | ThreadPoolExecutor-0_2 | Fetched 1 time series for WAL - Flushed Bytes Count
2026-01-30 | 00:07:55.327 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
2026-01-30 | 00:07:57.438 | INFO | ThreadPoolExecutor-0_6 | Fetched 1 time series for CPU - Utilization
2026-01-30 | 00:07:57.440 | INFO | ThreadPoolExecutor-0_6 | Returning 146 CPU - Utilization
2026-01-30 | 00:07:57.464 | INFO | ThreadPoolExecutor-0_5 | Fetched 1 time series for CPU - Usage time
2026-01-30 | 00:07:57.468 | INFO | ThreadPoolExecutor-0_4 | Fetched 4 time series for Network - PostgreSQL num of backends by state
2026-01-30 | 00:07:57.475 | INFO | ThreadPoolExecutor-0_4 | Returning 4 PostgreSQL num of backends by state metrics (state/database/region)
2026-01-30 | 00:07:57.572 | INFO | ThreadPoolExecutor-0_3 | Fetched 1 time series for WAL - Inserted Bytes Count
2026-01-30 | 00:07:57.619 | INFO | ThreadPoolExecutor-0_2 | Fetched 1 time series for WAL - Flushed Bytes Count
2026-01-30 | 00:07:57.686 | INFO | ThreadPoolExecutor-0_1 | Fetched 5 time series for perquery latencies
2026-01-30 | 00:07:57.701 | INFO | ThreadPoolExecutor-0_1 | Returning 5 perquery latency metrics (unique query/user/location/db buckets)
2026-01-30 | 00:07:57.722 | INFO | ThreadPoolExecutor-0_0 | Fetched 15 time series for perquery lock time
2026-01-30 | 00:07:57.749 | INFO | ThreadPoolExecutor-0_0 | Returning 5 perquery lock time metrics (unique query/user/location/db buckets)
2026-01-30 | 00:08:14.412 | INFO | MainThread |  ***** PostgreSQL Hotspots 0.1.0 starts *****
